Actual_DO,Predicted_DO
3.9,3.6290841353091343
15.2,8.933600262562788
10.0,8.397549309718059
4.5,4.03801877263818
3.6,3.5009083333333293
4.5,3.172250000000011
9.55,7.820270218392722
1.2,3.50035
3.2,2.8668630772005774
9.3,10.144361671535808
9.0,9.38168769126591
3.7,3.833466666666674
4.5,6.174029900793653
3.5,7.895599999999995
4.75,3.1913666666666693
8.7,5.867500000000008
10.75,8.514233868215118
14.2,10.144361671535808
3.4,4.469160290404043
8.7,7.941763347255814
4.7,3.768467893217892
11.8,9.14852270741439
3.2,5.432652380952378
9.9,9.810803337909961
9.2,9.212126000331672
4.2,4.232414024170275
4.4,7.877276244588741
5.25,9.64147091630592
8.5,3.891733333333328
3.8,5.301664742063492
3.9,3.963804166666667
9.6,9.006148829030069
